Date,Open,High,Low,Close,Volume
2009-12-31,6.06562,6.41645,5.6588,6.31969,13530110070
2010-01-31,6.40299,6.46601,5.70545,5.75979,17996635597
2010-02-28,5.77588,6.15313,5.72394,6.13653,12798174218
2010-03-31,6.1703,7.12261,6.16196,7.04805,14432931176
2010-04-30,7.12749,8.17152,6.98078,7.83053,14680509520
2010-05-31,7.93012,8.03421,5.97554,7.70373,21487936479
2010-06-30,7.78887,8.36793,7.26364,7.54366,19788151947
2010-07-31,7.62104,7.97835,7.18635,7.71521,18606538795
2010-08-31,7.81069,7.92638,7.06504,7.29092,11396882750
2010-09-30,7.42314,8.83851,7.3867,8.50986,14086948091
2010-10-31,8.58706,9.56707,8.33041,9.02667,14473780046
2010-11-30,9.07637,9.63579,8.92984,9.33232,11290568433
2010-12-31,9.46688,9.79686,9.44527,9.67411,8282749585
2011-01-31,9.74088,10.4539,9.74088,10.1761,12862239206
2011-02-28,10.2438,10.9441,10.1278,10.5934,11041220990
2011-03-31,10.6544,10.8467,9.78411,10.4509,13442789145
2011-04-30,10.5296,10.6505,9.60241,10.5002,10978689124
2011-05-31,10.4873,10.5511,9.87935,10.4325,8222468178
2011-06-30,10.4686,10.56,9.31268,10.067,11012438797
2011-07-31,10.0758,12.1304,10.0236,11.7111,12651321757
2011-08-31,11.9357,11.9813,10.5874,11.5421,19143516124
2011-09-30,11.5736,12.6833,10.9913,11.4351,14237706813
2011-10-31,11.4083,12.7964,10.6238,12.1393,15606940880
2011-11-30,11.9221,12.2356,10.8968,11.4628,10665488146
2011-12-31,11.4693,12.2699,11.3268,12.145,7494658175
2012-01-31,12.2924,13.743,12.2669,13.691,8161261325
2012-02-29,13.7489,16.4244,13.6155,16.2692,13528128935
2012-03-31,16.4363,18.638,15.4815,17.9802,18378409202
2012-04-30,18.048,19.3129,16.6444,17.5136,18338377838
2012-05-31,17.542,17.8978,15.6613,17.3249,13082376143
2012-06-30,17.0697,17.695,16.4489,17.5146,9290360653
2012-07-31,17.5363,18.5911,17.0962,18.319,10601056266
2012-08-31,18.472,20.5081,18.0014,20.0359,9810941679
2012-09-30,20.0504,21.2349,19.7586,20.0928,10901166534
2012-10-31,20.2154,20.3855,17.703,17.9319,14390219444
2012-11-30,18.0183,18.1608,15.3018,17.7109,15265180579
2012-12-31,17.9615,17.9901,15.1653,16.1013,14306999652
2013-01-31,16.7563,16.7917,13.1616,13.7815,15475231397
2013-02-28,13.8912,14.7567,13.32,13.4338,10971447155
2013-03-31,13.3309,14.3021,12.751,13.471,10767423557
2013-04-30,13.4563,13.5497,11.7199,13.4739,12856689567
2013-05-31,13.5251,14.1842,12.8316,13.7775,11033791457
2013-06-30,13.8078,13.9219,11.9833,12.2188,8184070611
2013-07-31,12.3367,14.0123,12.2914,13.8632,7620065129
2013-08-31,13.9582,15.8409,13.8854,15.1113,9335900038
2013-09-30,15.2064,15.6642,13.7914,14.7872,9987978398
2013-10-31,14.7528,16.6296,14.7479,16.2132,9060567831
2013-11-30,16.171,17.3171,15.893,17.2484,6017436779
2013-12-31,17.3075,17.8396,16.7111,17.3995,8118981625
2014-01-31,17.2358,17.3752,15.3087,15.5268,10134293650
2014-02-28,15.5906,17.1992,15.4864,16.4215,6749068366
2014-03-31,16.3204,17.1306,16.3155,16.7465,5730026962
2014-04-30,16.7789,18.703,15.9549,18.4124,7359289102
2014-05-31,18.472,20.2135,18.2088,19.8628,6534178718
2014-06-30,19.8922,20.8784,19.5329,20.4107,5493153036
2014-07-31,20.5406,21.842,20.3332,20.999,4709628612
2014-08-31,20.8439,22.7151,20.5884,22.6256,4225149629
2014-09-30,22.7493,22.8984,21.2191,22.2415,6911501960
2014-10-31,22.2053,23.8482,21.0109,23.8386,6159093928
2014-11-30,23.8917,26.5404,23.7786,26.3705,3701416911
2014-12-31,26.338,26.4374,23.5575,24.474,4840821855
2015-01-31,24.6921,26.5983,23.1942,25.9767,6183265062
2015-02-28,26.1721,29.7333,25.7344,28.5883,5105550356
2015-03-31,28.7669,28.9997,27.0679,27.6925,5116049247
2015-04-30,27.7781,29.9476,27.3949,27.8528,4474927927
2015-05-31,28.0647,29.7157,27.4598,29.1107,4271095334
2015-06-30,29.3259,29.3688,27.8201,28.0303,3930595440
2015-07-31,28.3603,29.7157,26.6436,27.1072,4734986721
2015-08-31,27.1534,27.393,20.6534,25.3135,7164380586
2015-09-30,24.7313,26.2429,24.0997,24.7658,5373679767
2015-10-31,24.4898,27.2142,24.0879,26.8301,4960426197
2015-11-30,26.9137,27.7945,25.026,26.675,3331359168
2015-12-31,26.7772,27.0246,23.6322,23.7365,4069410879
2016-01-31,23.1352,23.8671,20.8313,21.9449,5404600278
2016-02-29,21.7505,22.4184,20.9904,21.9176,3379384384
2016-03-31,22.1354,25.0318,22.0834,24.7066,3194151621
2016-04-30,24.6576,25.4786,20.9727,21.2488,3592436065
2016-05-31,21.2997,22.9751,20.4057,22.7748,3761128159
2016-06-30,22.5824,23.2367,20.8686,21.8044,3148129821
2016-07-31,21.779,23.8463,21.5236,23.7688,2768228541
2016-08-31,23.814,25.2765,23.7228,24.3325,2534219868
2016-09-30,24.3423,26.6406,23.5105,25.9208,4002243553
2016-10-31,25.8449,27.2172,25.7478,26.0337,2831060362
2016-11-30,26.0139,26.0907,23.9848,25.4727,3020733181
2016-12-31,25.4366,27.2014,24.9524,26.6945,2494784675
2017-01-31,26.6898,28.2209,26.4434,27.9712,2290065160
2017-02-28,29.2765,31.8216,29.2706,31.7114,2351240187
2017-03-31,31.9196,33.4498,31.7272,33.2532,2324433891
2017-04-30,33.2652,33.6708,32.4205,33.2513,1570693370
2017-05-31,33.5872,36.413,33.3957,35.5045,2810968427
2017-06-30,35.6038,36.2568,33.0521,33.4772,2936934946
2017-07-31,33.6728,35.7911,33.1022,34.5675,1805864567
2017-08-31,34.656,38.3871,34.4957,38.2673,2817721384
2017-09-30,38.4529,38.4871,34.8072,35.9619,2905732239
2017-10-31,35.9955,39.5852,35.577,39.4499,2158250265
2017-11-30,39.6395,41.1271,38.5687,40.2433,2562599549
2017-12-31,39.7985,41.4935,38.9774,39.6315,2258897065
2018-01-31,39.8503,42.179,38.5707,39.2123,2806870464
2018-02-28,39.151,42.4718,35.3288,41.8894,3936174373
2018-03-31,41.9856,43.1525,38.7896,39.4566,3035243433
2018-04-30,39.4809,42.0779,37.7703,38.8624,2833641240
2018-05-31,39.1316,44.8642,38.8653,44.1099,2636089930
2018-06-30,44.3732,45.8434,42.6593,43.6965,2235190303
2018-07-31,43.39,46.259,43.2976,44.9175,1668452206
2018-08-31,47.0071,54.2163,46.5722,53.9204,2960273949
2018-09-30,54.11,54.4058,50.9998,53.4748,2866296478
2018-10-31,53.9991,55.3055,48.8193,51.8454,3333940125
2018-11-30,51.8886,52.6704,40.472,42.4492,4048259128
2018-12-31,43.8468,43.9617,34.8464,37.4973,3781604781
2019-01-31,36.8214,40.1727,33.7543,39.5656,3483685153
2019-02-28,39.6891,41.9886,39.445,41.3373,1982295246
2019-03-31,41.6035,47.1919,40.4644,45.3445,2726882869
2019-04-30,45.7501,49.7672,44.9743,47.9049,2120066723
2019-05-31,50.104,51.4014,41.9385,41.9561,3089632303
2019-06-30,42.0849,48.3068,40.8041,47.4296,2149910349
2019-07-31,48.6867,53.0525,47.5484,51.0537,1977733297
2019-08-31,51.2598,52.25,46.151,50.2169,2845231486
2019-09-30,49.6582,54.4686,49.1297,53.8766,2275585935
2019-10-31,54.1455,60.0777,51.753,59.8409,2588373174
2019-11-30,60.0276,64.6641,59.9372,64.4823,1861465456
2019-12-31,64.4873,70.9273,61.8349,70.8488,2482066036
2020-01-31,71.4752,79.1027,70.6367,74.6821,3046314393
2020-02-29,73.423,79.14,62.0036,66.1118,3123978817
2020-03-31,68.2677,73.5212,51.421,61.4987,6492944553
2020-04-30,59.6169,71.231,57.2933,71.056,3376158752
2020-05-31,69.2312,78.6313,69.1341,77.1033,2895538608
2020-06-30,77.0569,90.3061,76.9254,88.4645,3343828702
2020-07-31,88.5428,103.232,86.4748,103.084,3113784753
2020-08-31,104.942,127.286,104.646,125.4,4190056769
2020-09-30,129.013,134.084,100.196,112.533,3999680810
2020-10-31,114.313,121.845,104.666,105.787,2979408954
2020-11-30,106.033,118.751,104.286,115.894,2182157711
